2015-08-09 14:39:46,738 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-08-09 14:39:47,108 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: tr.org.lkd.lyk2015:sampleservlet:0.0.1-SNAPSHOT @ /home/wanqcrypt/workspace/sampleservlet-lyk2015/pom.xml.
2015-08-09 14:39:47,943 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for sampleservlet-lyk2015
2015-08-09 14:39:47,945 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2015-08-09 14:39:48,342 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:39:48,342 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/main/resources
2015-08-09 14:39:48,344 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:39:48,344 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/test/resources
2015-08-09 14:39:48,344 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of sampleservlet-lyk2015
2015-08-09 14:39:48,347 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for sampleservlet-lyk2015
2015-08-09 14:39:48,355 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:41:00,076 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: tr.org.lkd.lyk2015:sampleservlet:0.0.1-SNAPSHOT @ /home/wanqcrypt/workspace/sampleservlet-lyk2015/pom.xml.
2015-08-09 14:41:00,640 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 0 sec
2015-08-09 14:41:01,153 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:41:01,156 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/main/resources
2015-08-09 14:41:01,158 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:41:01,158 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/test/resources
2015-08-09 14:41:07,072 [Worker-24] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/tmp/RemoteBundleDiscoveryStrategy8967674714018201304.tmp/org.eclipse.m2e.discovery.oss_catalog_1.6.jar_2121595329794500682.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-egit.xml
2015-08-09 14:41:07,072 [Worker-24] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2015-08-09 14:41:07,072 [Worker-24] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/tmp/RemoteBundleDiscoveryStrategy8967674714018201304.tmp/org.eclipse.m2e.discovery.oss_catalog_1.6.jar_2121595329794500682.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive.xml
2015-08-09 14:41:07,072 [Worker-24] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2015-08-09 14:41:07,252 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:41:07,252 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/main/resources
2015-08-09 14:41:07,253 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:41:07,253 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/test/resources
2015-08-09 14:43:31,798 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: tr.org.lkd.lyk2015:sampleservlet:0.0.1-SNAPSHOT @ /home/wanqcrypt/workspace/sampleservlet-lyk2015/pom.xml.
2015-08-09 14:43:32,542 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:43:32,550 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/main/resources
2015-08-09 14:43:32,553 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-09 14:43:32,554 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wanqcrypt/workspace/sampleservlet-lyk2015/src/test/resources
2015-08-09 14:44:56,748 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: tr.org.lkd.lyk2015:sampleservlet:0.0.1-SNAPSHOT @ /home/wanqcrypt/workspace/sampleservlet-lyk2015/pom.xml.
2015-08-09 14:44:57,522 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 1 sec
